report_date_as_yyyy_mm_dd,open_interest_all,noncomm_positions_long_all,noncomm_positions_short_all,comm_positions_long_all,comm_positions_short_all,report_date
2015-08-25T00:00:00.000,432154,189893,119160,156659,219295,2015-08-25
2015-09-01T00:00:00.000,410274,182753,110068,146865,215953,2015-09-01
2015-09-08T00:00:00.000,421732,183615,124322,155620,211599,2015-09-08
2015-09-15T00:00:00.000,413333,174225,134678,154988,187967,2015-09-15
2015-09-22T00:00:00.000,419304,182080,120955,149092,206320,2015-09-22
2015-09-29T00:00:00.000,415700,182792,106147,149535,222678,2015-09-29
2015-10-06T00:00:00.000,430228,191000,104181,148424,236893,2015-10-06
2015-10-13T00:00:00.000,435928,203299,86140,144242,262736,2015-10-13
2015-10-20T00:00:00.000,467792,233227,81926,134966,298266,2015-10-20
2015-10-27T00:00:00.000,466780,225985,68551,138770,304618,2015-10-27
2015-11-03T00:00:00.000,443900,194784,78442,146369,271357,2015-11-03
2015-11-10T00:00:00.000,436426,174561,106172,155946,227840,2015-11-10
2015-11-17T00:00:00.000,435376,173395,138996,170494,198967,2015-11-17
2015-11-24T00:00:00.000,397705,159440,143138,155709,167692,2015-11-24
2015-12-01T00:00:00.000,390940,158792,149042,155554,158465,2015-12-01
2015-12-08T00:00:00.000,394128,162764,143141,149617,163614,2015-12-08
2015-12-15T00:00:00.000,390944,155934,142278,151012,159278,2015-12-15
2015-12-22T00:00:00.000,405294,154276,127849,151272,173523,2015-12-22
2015-12-29T00:00:00.000,401880,150229,131127,147179,162514,2015-12-29
2016-01-05T00:00:00.000,413688,153532,126972,147674,166949,2016-01-05
2016-01-12T00:00:00.000,397565,158655,113937,142221,185806,2016-01-12
2016-01-19T00:00:00.000,408835,158320,114626,140723,180866,2016-01-19
2016-01-26T00:00:00.000,385350,170471,111431,115343,175176,2016-01-26
2016-02-02T00:00:00.000,379185,176968,104146,116469,193824,2016-02-02
2016-02-09T00:00:00.000,410833,201754,103326,121357,226280,2016-02-09
