date,close,sent_mean,sent_std,sent_min,sent_max,sent_decay,sent_momentum,sent_vol,sent_diffusion,headline_count_z,sig_buy,sig_sell,sig_hold,sig_none
2016-01-04 01:00:00,1063.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-01-04 02:00:00,1064.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-01-04 03:00:00,1063.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-01-04 04:00:00,1064.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-01-04 05:00:00,1063.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-01-04 06:00:00,1065.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-01-04 07:00:00,1068.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-01-04 08:00:00,1069.79,-0.120798215,0.27011302,-0.6039911,0.0,-0.14789505,-0.6039911,0.2135431,-0.12243149,2.4748666,0.0,0.0,1.0,0.0
2016-01-04 09:00:00,1071.27,-0.24159643,0.33081955,-0.6039911,0.0,-0.25542918,0.0,0.26633504,-0.21145113,1.7638302,0.0,1.0,0.0,0.0
2016-01-04 10:00:00,1072.62,-0.36239466,0.33081955,-0.6039911,0.0,-0.33525726,0.0,0.2917554,-0.27753496,1.4491347,0.0,1.0,0.0,0.0
2016-01-04 11:00:00,1073.58,-0.48319286,0.27011302,-0.6039911,0.0,-0.39543566,0.0,0.31189966,-0.32735226,1.26131,0.0,1.0,0.0,0.0
2016-01-04 12:00:00,1072.65,-0.6039911,0.0,-0.6039911,-0.6039911,-0.44132885,0.0,0.31833124,-0.36534387,1.1328409,0.0,1.0,0.0,0.0
2016-01-04 13:00:00,1072.48,-0.6039911,0.0,-0.6039911,-0.6039911,-0.47663754,0.0,0.31189966,-0.3945733,1.037747,0.0,1.0,0.0,0.0
2016-01-04 14:00:00,1072.29,-0.6039911,0.0,-0.6039911,-0.6039911,-0.5039873,0.0,0.2917554,-0.4172142,0.9636223,0.0,1.0,0.0,0.0
2016-01-04 15:00:00,1078.47,-0.6039911,0.0,-0.6039911,-0.6039911,-0.5252836,0.0,0.254665,-0.4348438,0.9036944,0.0,1.0,0.0,0.0
2016-01-04 16:00:00,1080.32,-0.6039911,0.0,-0.6039911,-0.6039911,-0.54193383,0.0,0.19099875,-0.44862738,0.8539109,0.0,1.0,0.0,0.0
2016-01-04 17:00:00,1077.86,-0.6039911,0.0,-0.6039911,-0.6039911,-0.55499333,0.0,0.0,-0.45943835,0.8116779,0.0,1.0,0.0,0.0
2016-01-04 18:00:00,1073.32,-0.6039911,0.0,-0.6039911,-0.6039911,-0.56526196,0.0,0.0,-0.46793902,0.77524686,0.0,1.0,0.0,0.0
2016-01-04 19:00:00,1076.1,-0.6039911,0.0,-0.6039911,-0.6039911,-0.5733521,0.0,0.0,-0.47463623,0.74339044,0.0,1.0,0.0,0.0
2016-01-04 20:00:00,1074.98,-0.6039911,0.0,-0.6039911,-0.6039911,-0.57973576,0.0,0.0,-0.47992077,0.7152177,0.0,1.0,0.0,0.0
2016-01-04 21:00:00,1075.05,-0.6039911,0.0,-0.6039911,-0.6039911,-0.584779,0.0,0.0,-0.48409572,0.6380761,0.0,1.0,0.0,0.0
2016-01-04 22:00:00,1075.06,-0.6039911,0.0,-0.6039911,-0.6039911,-0.5887672,0.0,0.0,-0.48739725,0.5627302,0.0,1.0,0.0,0.0
2016-01-04 23:00:00,1074.43,-0.6039911,0.0,-0.6039911,-0.6039911,-0.5919234,0.0,0.0,-0.49001005,0.48733854,0.0,1.0,0.0,0.0
2016-01-05 01:00:00,1072.98,-0.6039911,0.0,-0.6039911,-0.6039911,-0.5944227,0.0,0.0,-0.49207905,0.40944615,0.0,1.0,0.0,0.0
2016-01-05 02:00:00,1075.7,-0.6039911,0.0,-0.6039911,-0.6039911,-0.5964028,0.0,0.0,-0.4937182,0.3248921,0.0,1.0,0.0,0.0
2016-01-05 03:00:00,1076.11,-0.6039911,0.0,-0.6039911,-0.6039911,-0.5979721,0.0,0.0,-0.49501735,0.2236058,0.0,1.0,0.0,0.0
2016-01-05 04:00:00,1076.03,-0.6039911,0.0,-0.6039911,-0.6039911,-0.5992163,0.0,0.0,-0.4960473,0.0,0.0,1.0,0.0,0.0
2016-01-05 05:00:00,1076.82,-0.6039911,0.0,-0.6039911,-0.6039911,-0.60020286,0.0,0.0,-0.496864,0.0,0.0,1.0,0.0,0.0
2016-01-05 06:00:00,1077.3,-0.6039911,0.0,-0.6039911,-0.6039911,-0.6009853,0.0,0.0,-0.49751174,0.0,0.0,1.0,0.0,0.0
2016-01-05 07:00:00,1078.25,-0.6039911,0.0,-0.6039911,-0.6039911,-0.601606,0.0,0.0,-0.49802557,0.0,0.0,1.0,0.0,0.0
2016-01-05 08:00:00,1078.92,-0.6039911,0.0,-0.6039911,-0.6039911,-0.6020984,0.0,0.0,-0.4984332,0.0,0.0,1.0,0.0,0.0
2016-01-05 09:00:00,1076.71,-0.48319286,0.27011302,-0.6039911,0.0,-0.47780937,0.6039911,0.19099875,-0.3955434,-4.2485104,0.0,0.0,0.0,1.0
2016-01-05 10:00:00,1076.83,-0.36239466,0.33081955,-0.6039911,0.0,-0.3791894,0.0,0.254665,-0.31390315,-2.9240289,0.0,0.0,0.0,1.0
2016-01-05 11:00:00,1077.91,-0.24159643,0.33081955,-0.6039911,0.0,-0.3009325,0.0,0.2917554,-0.24911998,-2.3201947,0.0,0.0,0.0,1.0
2016-01-05 12:00:00,1077.34,-0.120798215,0.27011302,-0.6039911,0.0,-0.23883118,0.0,0.31189966,-0.19771084,-1.9493542,0.0,0.0,0.0,1.0
2016-01-05 13:00:00,1079.74,0.0,0.0,0.0,0.0,-0.1895484,0.0,0.31833124,-0.15691325,-1.6881905,0.0,0.0,0.0,1.0
2016-01-05 14:00:00,1079.25,0.0,0.0,0.0,0.0,-0.15043709,0.0,0.31189966,-0.12453585,-1.4888443,0.0,0.0,0.0,1.0
2016-01-05 15:00:00,1075.18,0.0,0.0,0.0,0.0,-0.11939722,0.0,0.2917554,-0.09884022,-1.3282615,0.0,0.0,0.0,1.0
2016-01-05 16:00:00,1076.81,0.0,0.0,0.0,0.0,-0.09476263,0.0,0.254665,-0.078447044,-1.1937313,0.0,0.0,0.0,1.0
2016-01-05 17:00:00,1076.93,0.0,0.0,0.0,0.0,-0.07521126,0.0,0.19099875,-0.06226189,-1.0775466,0.0,0.0,0.0,1.0
2016-01-05 18:00:00,1079.62,0.0,0.0,0.0,0.0,-0.05969402,0.0,0.0,-0.049416307,-0.97467756,0.0,0.0,0.0,1.0
2016-01-05 19:00:00,1079.59,0.0,0.0,0.0,0.0,-0.047378425,0.0,0.0,-0.039221127,-0.881629,0.0,0.0,0.0,1.0
2016-01-05 20:00:00,1078.42,0.0,0.0,0.0,0.0,-0.037603807,0.0,0.0,-0.031129438,-0.79582083,0.0,0.0,0.0,1.0
2016-01-05 21:00:00,1078.61,0.0,0.0,0.0,0.0,-0.029845862,0.0,0.0,-0.024707204,-0.7152177,0.0,0.0,0.0,1.0
2016-01-05 22:00:00,1078.43,0.0,0.0,0.0,0.0,-0.023688488,0.0,0.0,-0.019609965,-0.6380761,0.0,0.0,0.0,1.0
2016-01-05 23:00:00,1078.07,0.0,0.0,0.0,0.0,-0.018801447,0.0,0.0,-0.015564342,-0.5627302,0.0,0.0,0.0,1.0
2016-01-06 01:00:00,1077.56,0.0,0.0,0.0,0.0,-0.014922644,0.0,0.0,-0.012353364,-0.48733854,0.0,0.0,0.0,1.0
2016-01-06 02:00:00,1077.36,0.0,0.0,0.0,0.0,-0.011844063,0.0,0.0,-0.009804833,-0.40944615,0.0,0.0,0.0,1.0
2016-01-06 03:00:00,1075.73,0.0,0.0,0.0,0.0,-0.00940061,0.0,0.0,-0.0077820765,-0.3248921,0.0,0.0,0.0,1.0
2016-01-06 04:00:00,1076.72,0.0,0.0,0.0,0.0,-0.0074612503,0.0,0.0,-0.006176623,-0.2236058,0.0,0.0,0.0,1.0
2016-01-06 05:00:00,1078.08,0.0,0.0,0.0,0.0,-0.0059219864,0.0,0.0,-0.004902379,0.0,0.0,0.0,0.0,1.0
2016-01-06 06:00:00,1078.29,0.0,0.0,0.0,0.0,-0.0047002765,0.0,0.0,-0.0038910147,0.0,0.0,0.0,0.0,1.0
2016-01-06 07:00:00,1079.17,0.0,0.0,0.0,0.0,-0.0037306072,0.0,0.0,-0.0030882966,0.0,0.0,0.0,0.0,1.0
2016-01-06 08:00:00,1080.33,0.0,0.0,0.0,0.0,-0.002960982,0.0,0.0,-0.0024511802,0.0,0.0,0.0,1.0,0.0
2016-01-06 09:00:00,1081.85,0.0,0.0,0.0,0.0,-0.002350131,0.0,0.0,-0.0019455015,0.0,0.0,0.0,1.0,0.0
2016-01-06 10:00:00,1083.03,0.0,0.0,0.0,0.0,-0.0018652992,0.0,0.0,-0.0015441446,0.0,0.0,0.0,1.0,0.0
2016-01-06 11:00:00,1083.24,0.0,0.0,0.0,0.0,-0.0014804882,0.0,0.0,-0.0012255878,0.0,0.0,0.0,1.0,0.0
